Example,Structure
Do you want to double your (desired outcome) in (Niche)? Here’s how you can do it:,Do you want to Duplicate Your (desired result) in (Platform/Business)? That's how you do it.
I’m a engineering student and this is the most valuable tip anyone has given to me,I’m a (niche) major and this is the most valuable tip anyone has given to me
3 Apps every content creator should know!,3 Apps every (niche) professional should know!
Here’s another Etsy update you’ll love!,Here’s another (platform) update you’ll love!
Before starting on dog training do this first…,Before (action) do this first…
TikTok Business tools you should save for later. Part 12.,(Niche/Industry/Platform) tools you should save for later. Part 12.
"Here are 3 questions I always ask my new boyfriends, let them psychoanalyze them.","Here are 3 questions I always ask (persona, demographic, audience) on the first day, to psychoanalyze them."
Here's a quote every new parent needs to hear right now.,Here's a quote that every (niche specific person) needs to hear right now.
Here's something I wish I knew before I was in my 30s…,Here's something I wish I knew before I was in my (age range)…
"Parents, do this at home if you want to boost your children's confidence.","Parents, do this at home if you want to increase your children (ideal result)."
"If you really want to blow up your Instagram DMs, you need to stop wasting your time and do it right away.","If you really want to blow up your (business/niche/website/app/occupation), you should stop wasting your time and do it right away."
Here are 5 things you'll do to blow up your Instagram DM this month.,Here are the 5 things you are going to do to blow up your (problem you want to solve) this month.
"Here's a hot opinion... I don't believe in equality in a relationship. I know, let me explain…","Here's a hot shot... I don't believe in (a controversial topic being polorazing). I know, let me explain…"
3 things this book can teach any new parent how to deal with stress easily.,3 things this book can teach (subject/topic) to obtain (desired result/results).
This is how you make a killer photo like Will Smith in Canva.,This is how you realize a (desired product or result) as a (famous person or high authority) on (platform or app).
This is a day in my life as a Google employee in Los Angeles…,This is a day in my life as a (job title) at (your location)…
Dating rules my boyfriend and I broke when we started dating part 8,(Subject) rules my (related subject) and I broke when we started (action) Part 8
There's 1 thing every guy wants at the end of the day...nothing.,There is 1 thing that every (personality/subject) wants at the end of the day... (controversial polarizing oppositional view).
Why men are overhauling society and relationships…,Why (subject) are (something you want to avoid) and (result of avoidance).
"Here are 3 more ways you can shut down a bully, if you don't want to intimidate the person…","Here are 3 more ways you can (desired result, if you don't want to (avoid a conflict) back…"
Did you know...Kanye West divorced his wife but is doing this to keep her married?,Did you know... (something controversial that is currently trending in the news)
"I don't care who you are, I don't care where you are. You can lose up to 20 pounds in 30 days. Just follow these simple and easy steps.","I don't care who you are, I don't care where you are. You can (target they want to hit, within a desired time frame). Just follow these simple and easy steps."
"Ok, let me clarify this. Do you wonder why you are not happy but spend 7 hours a day on social media addicted? Ok, here's the thing…","Ok, let me clarify this. You wonder why (pain point) but spend (things holding them back that they need to get rid of). Ok, here's the thing…"
The strange secret trick to instantly find out if someone is lying to you.,The Weird Secret Trick to Instantly Find Out If (Overcome a Problem and Avoid).
Doing this 1 thing with your dog will help them hear 100 times better. My dog trainer showed me this simple hack.,Doing this 1 thing with your (subject) will help them (target) 100x better. My (authority figure) showed me this simple hack.
"If you are 30 years old and you are not 1000% happy with your fulfillment, listen to it for 20 seconds because this can change your life.",If you are at your (age) and you are not 1000% happy with your (subject) listen for 20 seconds because this can change your life.
Save this video the next time you need to break your back.,Save this video the next time you need (action).
Now this is a quote I read in a war biography.,Now this is a life changer (business/niche/product).
How to make a sweet profile picture like Will Smith in Canva.,How to make a (subject) like (famous person within the niche) on (platform they are familiar with)
"2 facts that can save gas for your car, when you need it most.","(Number) Fact(s) that can save your (common problem), (time constraint)."
"I'm going to be honest, here is a sentence that my children friends tell me that kills me inside.","I'm going to be honest, here's a sentence that my (business/niche/product) tells me that kills me inside."
I wish I knew this was going live on Instagram Tip sooner.,I wish I knew about this tip (common problem) sooner.
Please tell me I'm not the only 1 who just discovered this MacBook trick!,Please tell me I'm not the only 1 who just discovered this trick (business/niche)!
This is how I fix my brakes as a professional mechanic when I'm not teaching at Harvard.,This is how I (adjective/verb) (business/niche/product). As (professional title) in (authority qualifier).
"I learned about this at a mental health seminar and I don't think anyone is talking about this, and a lot of people actually experience this.",I learned about this in (related niche) and I don't think anyone is talking about this. And many people actually experience this.
"Here is something important that I have told my parents, but they refused to believe me.","Here is something important that I have told an (authority), but they refused to believe me."
I just got some news that makes me want to sell all my cars right now!,I just got some news that makes me want to (strange solution) right now!
"If you want the best video editing app for your iPhone, keep watching!","If you want the best (tool/website/app) for your (device), keep watching!"
"If your feelings for your mother-in-law ever hurt, do this immediately!",If you ever get (negative problem) from your (relationship) do this immediately!
Here's a sleep tip that will blow you away!,Here's a tip (common pain point) that will blow your mind!
"Check this out, it's equal parts sad and hilarious.",Look this is equal parts (negative adjective) and (positive adjective).
Here's a sexy trick to get more story views on your Instagram on a budget!,Here's a (adjective) trick to (solution to the problem) on a budget!
Did you know that you can tell how much your boyfriend likes you just by his dogs?,"Do you know that you can tell how much (the person, business, niche) likes just (something strange)"
"Whether you are a real estate agent or a photographer, you can now be with this website called , Hulahoop.com,a,http://hulahoop.com/, let me explain to you.",Whether it's a (niche) or an (ideal niche) you can now be with (tool).
"What do Donald Trump, Oprah and Gandhi have in common? Well, everyone acts first and thinks second.","What does (person/business) have in common (controversial person/business) and (person/business)? Well, everyone (desired relatable outcome)"
Something crazy happened in the gaming space this past week that is a total game-changer and changed the gaming industry forever. Let me tell you about that.,Something crazy happened in the (industry/niche) space this last week that is a total game changer and changed everything forever. Let me tell you about that.
"Ok, here's a story I love. This is how Elon Musk was able to become a billionaire by riding the train every day.","Ok, here's a story I love. This is how (popular figure) was able to (ideal target) with only (relatable current struggle/limiting)!"
"So I have this theory about why music artists will take over the music industry, and I'll show you why.",So I have this theory about why (ideal niche outcome) will be (positive adjective) (time frame) and I'll show you why.
Here's the story of Mark Zuckerberg's strange relationship with McDonalds.,Here is the story of (controversial in niche) and it is (negative adjective) (dynamic).
,
What I learned being a homeless dropout in my 20s.,What I learned to be a (controversial descriptor) while I was at my (age).
So this just happened at Walmart in New York.,"So this just happened in (location, niche, business)"
,+500 Viral Hooks
I asked the business owners on my Instagram page to ask me their top problems when it comes to Instagram. This is what they had to say.,I asked (client/niche) on my Instagram page to DM me their (problem you can solve). This is what they had to say.
I wish I knew this sooner. Why didn't anyone tell me that you can return any items at Costco at any time?,I wish I knew this sooner.
Our worst fears are coming to life! Wholefoods is slowly becoming Walmart!,Our worst fears are coming to life! (currently positive in niche) is becoming (past negative in niche).
2 questions Mechanics are done all the time.,(Number) Questions (Business/Niche/Title) Are asked all the time.
I became a full-time content creator in 12 months. This is how I did it.,I became a full-time (desired job or occupation) in (short term). This is how I did it.
Here's something I realized in my 30s.,Here's something I noticed in my (age range).
"If I was on a desert island and could only take 1 supplement with me, I would take magnesium.","If I were on a desert island and could only take 1 (product/equipment/technology related to your niche/industry) with me, I would take (product/equipment/technology related to your niche/industry)."
Here's 1 simple trick to build confidence or reduce social anxiety. Next time…,Here's 1 simple trick for (a common problem your audience wants to avoid) or (another common problem your audience wants to avoid). Next time…
You are wrong if you think that every old video game console is a lot of money. For example…,You are wrong if you think that every (specific niche-related topic or topic) is (ideal outcome). For example…
Here are 3 things you should ask your partner to get on the same page about sex. #1.,Here are (number) things you should ask (niche specific person or entity) who is on the same page about (polarize subject or topic). #1 .…
How do you let go of someone you were in love with?,How are you (common problem holding them) (verb) (desired outcome they are trying to solve)?
"Hashbrowns are for Wimps, you can do better. We're making a potato galette. It's French","(The easily recognizable common and beloved element) is for (negative adjective), you can do better. We are (adjective) (something new and better). It is (something elegant)."
3 things I learned from Robert Greene,3 things I learned from (Author figure/authority/famous person).
I'm about to show you exactly how thoughts create reality.,I'm about to show you exactly how (the common problem most people face).
I picked up some strange habits during 19 years of prison.,I picked up some strange habits during (time frame) at (title/job title).
Stop... What is this?,Stop... What is this?
"If you buy anything at Home Depot, you should see this.","If you buy something at (common business), you should see this."
Here are my absolute brushes that I use in my painting kit that I will never stop using.,"Here is my absolute choice (website, apps, tools, resources) that I use in my (industry, job title, niche, professional title) that I will never stop using."
Try this eyeliner technique!,"Use this technique (niche, demographic, type of business)!"
Instagram just launched a new feature and I'm so excited about it! Let me break it down.,(Platform) I just launched a new feature and I'm very excited about it. Let me break it down.
"Ok, so this hair dryer is literally breaking the internet…","Ok, this (product) is literally breaking the internet…"
Here is my favorite moisturizing cream that I use daily.,Here is my favorite (product) that I use daily.
"So, you want to create professional-looking flyer designs, but you don't know which websites or programs to use. Let me help you!",So you want (action) (Point Point retense again) but you don't know what (Program/Service/Product/Resource) to use. Let me help you!
Ok you...me.,Ok guys... I.. I just found the craziest hack (niche related topic/topic) ever!
I don't know why no one is talking about this curly hair trick on Tiktok yet. So... I'm going to do it.,I don't know why no one is talking about this hack (Industry/Niche/Social Platform) on Tiktok yet. So... I'm going to do it.
"Ok, parents look at this website for kids during summer vacation!",OK (Job Title/Niche/Industry) Check This Out (Website/App/Tool/Platform)
"If you have a plant obsession, this is the coolest website! Check it out.","If you have a (specific niche), this is the best (product) ever! Check it out."
The Amazon product that I think is underrated should be a crime!,"(Product) Which I think is underrated, it should be a crime!"
"This website has helped 100's of 1,000's of marketers skyrocket their content literally overnight!","This (website/tool/app) has helped 100 out of 1,000's (niche related job title) shoot their content literally overnight!"
"Influencer websites, you need to bookmark it! Part 42",(Niche / industrial / platform) Websites you should bookmark! Part (high number).
Here's the #1 thing you should think about when it comes to buying foundation.,Here is the #1 thing you should think about when it comes to purchasing (subject/object/service related to your niche).
Use this lens to get killer photos in even the darkest rooms!,Use this (product) to get killer (problem you are trying to solve/stuck).
Here are my top 3 photo hacks!,Here are my top 3 hacks (Title/Industry/Niche/Professional Title)!
Stop using Canva for your videos. Use this instead!,Stop using (website/tool/platform/app) for your (relative to the first part you choose) Use this instead!
These videos only for people who are currently going through low views on Tiktok or want to avoid low views on Tiktok in the future.,These videos only for people who are currently going through (common pain point/problem) or want to prevent (common pain point/problem) in the future.
"Cosplayers, this wig will change your life!",(niche/title/industry) This (product) will change your life!
I just discovered this photo editing app and I need to share it with you!,"I just discovered this (apps, websites, tools, YouTube channels, podcasts, books) and I need to share it with you!"
If you're working or in influencer marketing...you need to hear this first!,If you are working or entering (your niche/industry)...you need to listen to this first!
"I suggest you read this book, Hooked.","I highly suggest (activity) this (book, podcast, resources, study, etc.) (title of what you just suggested)"
"This is the easiest way to get more Instagram followers who actually engage with your content, literally right now!",Here's the easiest way to get (common pain/frustration point) literally right now!
Here's another incredibly useful kitchen find you'll want to know about sooner!,Here's another incredibly useful (product) you wish you knew about sooner!
"I beg you...if you are a parent, just try this…","I'm begging you...if you're a (title/niche/industry), just try this…"
3 incredibly useful plugins that are about to change your life!,(number) Incredibly useful (product) that is about to change your life!
This Instagram trick skyrocketed my Instagram story views!,This hack (social platform) skyrocketed my (desire/pain point related to that social platform)
This is how you can create Instagram infographics in just 20 minutes.,This is how you can create (product/service/resource/content) in just (time frame).
