Type,Campaign Type,Pillar,Example,Structure
curiosity,nurture,automation,"The thing most performance teams miss about scaling creative","The thing most [PERSONA_ROLE]s miss about [TOPIC]"
curiosity,nurture,automation,"Your creative bottleneck isn't where you think it is","Your [PAIN_POINT] isn't where you think it is"
curiosity,nurture,growth-system,"Your growth problem isn't actually a growth problem","Your [PAIN_POINT] problem isn't actually a [PAIN_POINT] problem"
curiosity,nurture,education,"Why most testing programs don't compound (and how to fix it)","Why most [COMMON_APPROACH]s don't [DESIRED_OUTCOME] (and how to fix it)"
curiosity,nurture,education,"The framework behind every high-win-rate creative program","The framework behind every [DESIRED_OUTCOME] program"
curiosity,cold,automation,"The bottleneck most performance directors don't see coming","The bottleneck most [PERSONA_ROLE]s don't see coming"
curiosity,cold,automation,"Why your creative cycle is slower than it looks","Why your [PROCESS_NAME] is [PROBLEM] than it looks"
curiosity,cold,education,"Nobody talks about this part of the testing process","Nobody talks about this part of the [PROCESS]"
curiosity,cold,pipeline,"Why your pipeline isn't dead — it's just quiet","Why your [ASSET] isn't [NEGATIVE_STATE] — it's just [DIFFERENT_STATE]"
curiosity,cold,education,"The difference between brands scaling and brands plateauing","The difference between [SUCCESS_STATE] and [STUCK_STATE]"
curiosity,re-engagement,pipeline,"Something we should have sent sooner","Something we should have sent sooner"
curiosity,re-engagement,automation,"What's changed since we last talked","What's changed since we last talked"
curiosity,re-engagement,results,"One thing that might change how you see this","One thing that might change how you see [TOPIC]"
curiosity,follow-up,growth-system,"The thing you mentioned that stuck with me","The thing you mentioned that stuck with me"
curiosity,follow-up,automation,"One more thing from our call worth considering","One more thing from [CONTEXT] worth considering"
social-proof,nurture,results,"How one agency went from creative chaos to a systemized growth machine","How [PERSONA_TYPE] went from [PAIN_STATE] to [DESIRED_OUTCOME]"
social-proof,nurture,results,"From 100K to 500K in ad spend — what actually changed","From [METRIC_BEFORE] to [METRIC_AFTER] — what actually changed"
social-proof,nurture,automation,"5x more creative tests per month — the system behind it","[RESULT] — the system behind it"
social-proof,nurture,results,"What brands removing the creative bottleneck have in common","What [PERSONA_TYPE]s achieving [OUTCOME] have in common"
social-proof,nurture,pipeline,"27% of dead leads replied to this sequence — here's why","[PROOF_NUMBER] of [AUDIENCE_TYPE] [RESULT] — here's why"
social-proof,cold,results,"What top CGOs are doing that most brands aren't","What top [PERSONA_ROLE]s are doing that most [COMPETITOR_TYPE]s aren't"
social-proof,cold,automation,"The agencies scaling fastest have this in common","The [PERSONA_TYPE]s [RESULT] have this in common"
social-proof,cold,results,"How [brand type] tested 3x more concepts without hiring","How [PERSONA_TYPE] [RESULT] without [COST_OR_EFFORT]"
social-proof,re-engagement,results,"Here's what happened when we applied this to a list like yours","Here's what happened when we applied this to [AUDIENCE_TYPE]"
social-proof,re-engagement,pipeline,"11 booked calls from a list everyone wrote off","[SPECIFIC_RESULT] from [AUDIENCE_TYPE] everyone wrote off"
social-proof,follow-up,results,"The case study I mentioned — worth reading before our next call","The [PROOF_ASSET] I mentioned — worth [ACTION] before [NEXT_STEP]"
urgency,nurture,automation,"Every week without a testing system is a week your competition is ahead","Every [TIME_UNIT] without [SOLUTION] is a [TIME_UNIT] [COST_OF_DELAY]"
urgency,nurture,pipeline,"The pipeline you have right now won't look this way in 30 days","The [ASSET] you have right now won't [STATE] in [TIMEFRAME]"
urgency,nurture,automation,"While you're waiting on creative production, your ad account is sitting still","While you're [CURRENT_STATE], [WHAT_IS_HAPPENING_WITHOUT_YOU]"
urgency,promotional,pipeline,"This closes Friday — last chance to lock in [OFFER]","This closes [DATE] — last chance to [ACTION]"
urgency,promotional,results,"[N] spots left for [OFFER]","[N] spots left for [OFFER]"
urgency,promotional,automation,"The window for [OFFER] closes [DATE]","The window for [OFFER] closes [DATE]"
urgency,re-engagement,pipeline,"The deals that come back don't wait forever","The [ASSET] that [RESULT] don't wait forever"
urgency,re-engagement,pipeline,"Last email on this — then I'll leave you alone","Last email on this — then I'll leave you alone"
