hook_type,pattern,example,best_platforms,best_pillars
curiosity,"Most [audience] don't know this about [topic]","Most founders don't know this about SEO","LinkedIn,Twitter,Instagram","Educational"
curiosity,"Stop doing [common practice]","Stop posting at 9am. Here's the data.","LinkedIn,Instagram,TikTok","Educational"
curiosity,"The [N] things I wish I knew about [topic]","The 5 things I wish I knew about social media scheduling","LinkedIn,Instagram","Educational"
curiosity,"Why does nobody talk about [topic]?","Why does nobody talk about engagement rate decay?","Twitter,LinkedIn","Educational"
story,"Last [time], we almost [dramatic event]","Last quarter, we almost lost our biggest client","LinkedIn,Instagram","BTS,Social Proof"
story,"I used to [old way]. Then [change].","I used to post randomly. Then I discovered content pillars.","LinkedIn,Instagram","BTS,Educational"
story,"[Time] ago, [start]. Today, [end].","6 months ago, 200 followers. Today, 50k.","Instagram,LinkedIn,TikTok","Social Proof"
stat,"[N]% of [group] make this mistake","73% of brands post without a content calendar","LinkedIn,Twitter","Educational"
stat,"Companies that [X] grow [N]x faster","Companies that batch content grow 3x faster","LinkedIn,Twitter","Educational,Social Proof"
question,"What's the one [thing] you can't live without?","What's the one scheduling tool you can't live without?","Instagram,LinkedIn,Twitter","Community"
question,"[A] or [B]?","Manual posting or automated scheduling?","Instagram,Twitter,TikTok","Community"
bold,"[Common belief] is dead","Organic reach is dead. Here's what replaced it.","LinkedIn,Twitter","Educational"
bold,"Unpopular opinion: [take]","Unpopular opinion: You don't need to post every day.","Twitter,LinkedIn,TikTok","Educational"
